ranking,date,drama_name,drama_intro,drama_score_imdb,drama_score_tomato,drama_country,drama_date,drama_sub1,drama_sub2,flag_original,drama_cast,drama_director,drama_key,drama_type,value,drama_name_zh,drama_sub1_zh,drama_sub2_zh,drama_country_zh
1,2020-04-05,Hospital Playlist,"Every day is extraordinary for five doctors and their patients inside a hospital, where birth, death and everything in between coexist.",84,NA,South Korea,2020-03-12T00:00:00Z,Drama,NA,TRUE,"Cho Jung-seok, Kim Dae-myung, Jung Kyung-ho, Yoo Yeon-seok, Jeon Mi-do, Kim Hae-sook, Shin Hyun-bin",Shin Won-ho,2,drama,https://flixpatrol.com/title/hospital-playlist,機智醫生生活,戲劇,NA,韓國
1,2020-04-06,Hospital Playlist,"Every day is extraordinary for five doctors and their patients inside a hospital, where birth, death and everything in between coexist.",84,NA,South Korea,2020-03-12T00:00:00Z,Drama,NA,TRUE,"Cho Jung-seok, Kim Dae-myung, Jung Kyung-ho, Yoo Yeon-seok, Jeon Mi-do, Kim Hae-sook, Shin Hyun-bin",Shin Won-ho,2,drama,https://flixpatrol.com/title/hospital-playlist,機智醫生生活,戲劇,NA,韓國
1,2020-04-07,Hospital Playlist,"Every day is extraordinary for five doctors and their patients inside a hospital, where birth, death and everything in between coexist.",84,NA,South Korea,2020-03-12T00:00:00Z,Drama,NA,TRUE,"Cho Jung-seok, Kim Dae-myung, Jung Kyung-ho, Yoo Yeon-seok, Jeon Mi-do, Kim Hae-sook, Shin Hyun-bin",Shin Won-ho,2,drama,https://flixpatrol.com/title/hospital-playlist,機智醫生生活,戲劇,NA,韓國
1,2020-04-08,Hospital Playlist,"Every day is extraordinary for five doctors and their patients inside a hospital, where birth, death and everything in between coexist.",84,NA,South Korea,2020-03-12T00:00:00Z,Drama,NA,TRUE,"Cho Jung-seok, Kim Dae-myung, Jung Kyung-ho, Yoo Yeon-seok, Jeon Mi-do, Kim Hae-sook, Shin Hyun-bin",Shin Won-ho,2,drama,https://flixpatrol.com/title/hospital-playlist,機智醫生生活,戲劇,NA,韓國
1,2020-04-09,Hospital Playlist,"Every day is extraordinary for five doctors and their patients inside a hospital, where birth, death and everything in between coexist.",84,NA,South Korea,2020-03-12T00:00:00Z,Drama,NA,TRUE,"Cho Jung-seok, Kim Dae-myung, Jung Kyung-ho, Yoo Yeon-seok, Jeon Mi-do, Kim Hae-sook, Shin Hyun-bin",Shin Won-ho,2,drama,https://flixpatrol.com/title/hospital-playlist,機智醫生生活,戲劇,NA,韓國
1,2020-04-10,Hospital Playlist,"Every day is extraordinary for five doctors and their patients inside a hospital, where birth, death and everything in between coexist.",84,NA,South Korea,2020-03-12T00:00:00Z,Drama,NA,TRUE,"Cho Jung-seok, Kim Dae-myung, Jung Kyung-ho, Yoo Yeon-seok, Jeon Mi-do, Kim Hae-sook, Shin Hyun-bin",Shin Won-ho,2,drama,https://flixpatrol.com/title/hospital-playlist,機智醫生生活,戲劇,NA,韓國
1,2020-04-11,Heart Signal,A cohabitation of young men and women begin at Signal House where filled with rosy expectation of love and romance blooms. The “Predictors” with vast experiences in dating and love will detect potential lovers in the Signal House. The most exhilarating love game begins now.,NA,NA,South Korea,2017-06-02T00:00:00Z,Reality,NA,FALSE,"Lee Sang-min, Kim Eana, Han Hye-jin, Yoon Shi Yoon, Pyo Ji-hoon",NA,17,drama,https://flixpatrol.com/title/heart-signal,心臟信號,現實,NA,韓國
1,2020-04-12,Hospital Playlist,"Every day is extraordinary for five doctors and their patients inside a hospital, where birth, death and everything in between coexist.",84,NA,South Korea,2020-03-12T00:00:00Z,Drama,NA,TRUE,"Cho Jung-seok, Kim Dae-myung, Jung Kyung-ho, Yoo Yeon-seok, Jeon Mi-do, Kim Hae-sook, Shin Hyun-bin",Shin Won-ho,2,drama,https://flixpatrol.com/title/hospital-playlist,機智醫生生活,戲劇,NA,韓國
1,2020-04-13,Hospital Playlist,"Every day is extraordinary for five doctors and their patients inside a hospital, where birth, death and everything in between coexist.",84,NA,South Korea,2020-03-12T00:00:00Z,Drama,NA,TRUE,"Cho Jung-seok, Kim Dae-myung, Jung Kyung-ho, Yoo Yeon-seok, Jeon Mi-do, Kim Hae-sook, Shin Hyun-bin",Shin Won-ho,2,drama,https://flixpatrol.com/title/hospital-playlist,機智醫生生活,戲劇,NA,韓國
1,2020-04-14,Hospital Playlist,"Every day is extraordinary for five doctors and their patients inside a hospital, where birth, death and everything in between coexist.",84,NA,South Korea,2020-03-12T00:00:00Z,Drama,NA,TRUE,"Cho Jung-seok, Kim Dae-myung, Jung Kyung-ho, Yoo Yeon-seok, Jeon Mi-do, Kim Hae-sook, Shin Hyun-bin",Shin Won-ho,2,drama,https://flixpatrol.com/title/hospital-playlist,機智醫生生活,戲劇,NA,韓國
