ranking,date,drama_name,drama_intro,drama_score_imdb,drama_score_tomato,drama_country,drama_date,drama_sub1,drama_sub2,flag_original,drama_cast,drama_director,drama_key,drama_type,value,drama_name_zh,drama_sub1_zh,drama_sub2_zh,drama_country_zh
1,2020-04-01,Elite,"When three working class kids enroll in the most exclusive school in Spain, the clash between the wealthy and the poor students leads to tragedy.",76,97,Spain,2018-10-05T00:00:00Z,Crime,Teens,TRUE,"María Pedraza, Itzan Escamilla, Mina El Hammani, Miguel Herrán, Ester Expósito, Miguel Bernardeau, Danna Paola","Ramón Salazar, Dani de la Orden",379,drama,https://flixpatrol.com/title/elite,精英,犯罪,青少年,西班牙
1,2020-04-02,"Hi Bye, Mama!","When the ghost of a woman gains a second chance at life for 49 days, she reappears in front of her remarried husband and young daughter.",82,NA,South Korea,2020-04-25T00:00:00Z,Drama,Dramedy,TRUE,"Kim Tae-hee, Lee Kyoo-hyung, Shin Dong-mi, Lee Si-Woo, Kim Mi-kyeong, Ahn Nae-sang, Ban Hyo-jung",NA,13,drama,https://flixpatrol.com/title/hi-bye-mama,哈囉掰掰，我是鬼媽媽,戲劇,劇情喜劇,韓國
1,2020-04-03,Money Heist,"To carry out the biggest heist in history, a mysterious man called The Professor recruits a band of eight robbers who have a single characteristic: none of them has anything to lose. Five months of seclusion - memorizing every step, every detail, every probability - culminate in eleven days locked up in the National Coinage and Stamp Factory of Spain, surrounded by police forces and with dozens of hostages in their power, to find out whether their suicide wager will lead to everything or nothing.",84,93,Spain,2017-05-02T00:00:00Z,Crime,Heist,TRUE,"Úrsula Corberó, Itziar Ituno, Álvaro Morte, Paco Tous, Pedro Alonso, Alba Flores, Miguel Herrán",NA,12,drama,https://flixpatrol.com/title/money-heist,紙房子,犯罪,劫盜,西班牙
1,2020-04-04,"Hi Bye, Mama!","When the ghost of a woman gains a second chance at life for 49 days, she reappears in front of her remarried husband and young daughter.",82,NA,South Korea,2020-04-25T00:00:00Z,Drama,Dramedy,TRUE,"Kim Tae-hee, Lee Kyoo-hyung, Shin Dong-mi, Lee Si-Woo, Kim Mi-kyeong, Ahn Nae-sang, Ban Hyo-jung",NA,13,drama,https://flixpatrol.com/title/hi-bye-mama,哈囉掰掰，我是鬼媽媽,戲劇,劇情喜劇,韓國
1,2020-04-05,Money Heist,"To carry out the biggest heist in history, a mysterious man called The Professor recruits a band of eight robbers who have a single characteristic: none of them has anything to lose. Five months of seclusion - memorizing every step, every detail, every probability - culminate in eleven days locked up in the National Coinage and Stamp Factory of Spain, surrounded by police forces and with dozens of hostages in their power, to find out whether their suicide wager will lead to everything or nothing.",84,93,Spain,2017-05-02T00:00:00Z,Crime,Heist,TRUE,"Úrsula Corberó, Itziar Ituno, Álvaro Morte, Paco Tous, Pedro Alonso, Alba Flores, Miguel Herrán",NA,12,drama,https://flixpatrol.com/title/money-heist,紙房子,犯罪,劫盜,西班牙
1,2020-04-06,"Hi Bye, Mama!","When the ghost of a woman gains a second chance at life for 49 days, she reappears in front of her remarried husband and young daughter.",82,NA,South Korea,2020-04-25T00:00:00Z,Drama,Dramedy,TRUE,"Kim Tae-hee, Lee Kyoo-hyung, Shin Dong-mi, Lee Si-Woo, Kim Mi-kyeong, Ahn Nae-sang, Ban Hyo-jung",NA,13,drama,https://flixpatrol.com/title/hi-bye-mama,哈囉掰掰，我是鬼媽媽,戲劇,劇情喜劇,韓國
1,2020-04-07,"Hi Bye, Mama!","When the ghost of a woman gains a second chance at life for 49 days, she reappears in front of her remarried husband and young daughter.",82,NA,South Korea,2020-04-25T00:00:00Z,Drama,Dramedy,TRUE,"Kim Tae-hee, Lee Kyoo-hyung, Shin Dong-mi, Lee Si-Woo, Kim Mi-kyeong, Ahn Nae-sang, Ban Hyo-jung",NA,13,drama,https://flixpatrol.com/title/hi-bye-mama,哈囉掰掰，我是鬼媽媽,戲劇,劇情喜劇,韓國
1,2020-04-08,"Hi Bye, Mama!","When the ghost of a woman gains a second chance at life for 49 days, she reappears in front of her remarried husband and young daughter.",82,NA,South Korea,2020-04-25T00:00:00Z,Drama,Dramedy,TRUE,"Kim Tae-hee, Lee Kyoo-hyung, Shin Dong-mi, Lee Si-Woo, Kim Mi-kyeong, Ahn Nae-sang, Ban Hyo-jung",NA,13,drama,https://flixpatrol.com/title/hi-bye-mama,哈囉掰掰，我是鬼媽媽,戲劇,劇情喜劇,韓國
1,2020-04-09,"Hi Bye, Mama!","When the ghost of a woman gains a second chance at life for 49 days, she reappears in front of her remarried husband and young daughter.",82,NA,South Korea,2020-04-25T00:00:00Z,Drama,Dramedy,TRUE,"Kim Tae-hee, Lee Kyoo-hyung, Shin Dong-mi, Lee Si-Woo, Kim Mi-kyeong, Ahn Nae-sang, Ban Hyo-jung",NA,13,drama,https://flixpatrol.com/title/hi-bye-mama,哈囉掰掰，我是鬼媽媽,戲劇,劇情喜劇,韓國
1,2020-04-10,"Hi Bye, Mama!","When the ghost of a woman gains a second chance at life for 49 days, she reappears in front of her remarried husband and young daughter.",82,NA,South Korea,2020-04-25T00:00:00Z,Drama,Dramedy,TRUE,"Kim Tae-hee, Lee Kyoo-hyung, Shin Dong-mi, Lee Si-Woo, Kim Mi-kyeong, Ahn Nae-sang, Ban Hyo-jung",NA,13,drama,https://flixpatrol.com/title/hi-bye-mama,哈囉掰掰，我是鬼媽媽,戲劇,劇情喜劇,韓國
1,2020-04-11,"Hi Bye, Mama!","When the ghost of a woman gains a second chance at life for 49 days, she reappears in front of her remarried husband and young daughter.",82,NA,South Korea,2020-04-25T00:00:00Z,Drama,Dramedy,TRUE,"Kim Tae-hee, Lee Kyoo-hyung, Shin Dong-mi, Lee Si-Woo, Kim Mi-kyeong, Ahn Nae-sang, Ban Hyo-jung",NA,13,drama,https://flixpatrol.com/title/hi-bye-mama,哈囉掰掰，我是鬼媽媽,戲劇,劇情喜劇,韓國
1,2020-04-12,"Hi Bye, Mama!","When the ghost of a woman gains a second chance at life for 49 days, she reappears in front of her remarried husband and young daughter.",82,NA,South Korea,2020-04-25T00:00:00Z,Drama,Dramedy,TRUE,"Kim Tae-hee, Lee Kyoo-hyung, Shin Dong-mi, Lee Si-Woo, Kim Mi-kyeong, Ahn Nae-sang, Ban Hyo-jung",NA,13,drama,https://flixpatrol.com/title/hi-bye-mama,哈囉掰掰，我是鬼媽媽,戲劇,劇情喜劇,韓國
